Feature,Importance
cat__diag_2_250.81,0.0003040091170139358
cat__diag_1_294,0.00030288962138748073
cat__diag_2_250.42,0.0003023743170786713
cat__diag_2_569,0.00030152809956569804
cat__diag_3_492,0.00030102424954372444
cat__diag_2_294,0.0002974326079859475
cat__diag_1_250.03,0.0002960641212679808
cat__diag_3_564,0.00029597498267277086
cat__diag_1_157,0.0002957603574105917
cat__diag_3_250.51,0.0002955961618713269
cat__diag_3_250.82,0.00029545224566968634
cat__diag_3_719,0.00029542049136736397
cat__diag_1_821,0.00029525816623833507
cat__diag_1_398,0.00029353185468616725
cat__diag_1_515,0.00029163389378032646
cat__diag_1_287,0.0002899147264808794
cat__diag_3_404,0.0002897895457813261
cat__diag_1_250.42,0.0002893457730081412
cat__diag_1_540,0.00028756786119743896
cat__diag_1_721,0.0002874332860155553
cat__diag_3_337,0.0002866714272876072
cat__diag_2_433,0.00028470537173448516
cat__diag_1_728,0.0002843477247600092
cat__diag_1_185,0.00028277948155244856
cat__diag_3_202,0.00028121535180154766
cat__diag_1_292,0.0002811035817383178
cat__diag_1_852,0.00028083072525093356
cat__diag_2_135,0.00027953919970803216
cat__diag_1_536,0.00027904905578926824
cat__diag_2_292,0.0002775807003832552
cat__diag_3_591,0.0002749796939639857
cat__diag_1_250,0.00027442638500292497
cat__diag_1_441,0.00027373133505488996
cat__diag_3_710,0.00027361756994940324
cat__diag_1_112,0.000270537867674025
cat__diag_2_590,0.00026951964630609075
cat__diag_2_416,0.0002681687059274895
cat__diag_2_781,0.00026640286093709435
cat__diag_2_572,0.0002662062634547471
cat__rosiglitazone_Up,0.0002648797829972544
cat__diag_1_250.22,0.00026374929967338477
cat__diag_2_458,0.0002636817341312524
cat__diag_1_300,0.0002628990924856565
cat__diag_2_V43,0.00025931142539981474
cat__diag_3_569,0.00025926013355753117
cat__diag_2_250.13,0.0002588007563851481
cat__diag_3_196,0.0002586216584357565
cat__diag_3_255,0.0002565935501814982
cat__diag_2_562,0.0002543098891870306
cat__diag_1_576,0.000253144908369917
cat__diag_1_553,0.000252127845175921
cat__diag_1_431,0.00025109544380041136
cat__diag_3_466,0.00025108599617006924
cat__diag_1_781,0.00025012864788074196
cat__diag_3_574,0.00025007820410447815
cat__diag_3_782,0.0002499406730652717
