Feature,Importance
cat__diag_3_343,0.00012056602995796421
cat__diag_2_250.51,0.00012050733972325943
cat__diag_1_515,0.0001204471752445612
cat__diag_1_297,0.00012043169815483723
cat__diag_3_250.52,0.00012025548623971068
cat__diag_3_E942,0.00011932904478664478
cat__diag_3_138,0.00011855541901303196
cat__diag_2_444,0.00011817929115921332
cat__diag_3_642,0.0001176483096268733
cat__diag_2_482,0.00011706749460445251
cat__diag_1_Unknown,0.00011663607278458176
cat__diag_2_573,0.00011618882222362093
cat__diag_1_242,0.00011567721082508799
cat__diag_1_332,0.00011484408962734641
cat__diag_2_459,0.00011413515886658681
cat__diag_2_723,0.00011401717905392275
cat__rosiglitazone_Down,0.00011384356531669961
cat__diag_1_595,0.00011258318026639066
cat__diag_1_514,0.00011139500522549284
cat__diag_1_969,0.00011090948494535395
cat__diag_2_E950,0.00011085627792870735
cat__diag_3_437,0.00011062268534037676
cat__diag_3_573,0.00011023884166790005
cat__diag_2_V54,0.0001096474376594844
cat__diag_1_966,0.00010962531410312413
cat__diag_2_398,0.00010950403945833688
cat__diag_1_487,0.0001087505210244259
cat__diag_3_250.53,0.00010773877046590308
cat__diag_1_924,0.00010758472574494239
cat__diag_1_959,0.00010712193151745748
cat__diag_3_204,0.00010671998709833535
cat__chlorpropamide_Steady,0.00010621134625347251
cat__diag_3_42,0.00010599614607515331
cat__diag_1_312,0.0001056206211230389
cat__diag_1_922,0.00010549941434779058
cat__diag_3_E935,0.00010541950244036277
cat__diag_2_805,0.00010457430120565564
cat__diag_2_568,0.00010405975876550217
cat__diag_2_576,0.00010343283794237382
cat__diag_1_421,0.00010276285158419501
cat__diag_3_293,0.0001027615209709121
cat__diag_3_273,0.00010257289041859757
cat__diag_3_723,0.00010176272254197348
cat__diag_3_290,0.00010070238363365731
cat__diag_1_241,0.00010001317761866765
cat__diag_2_183,9.99720339072095e-05
cat__diag_2_V49,9.97870155696064e-05
cat__diag_1_288,9.976858193729186e-05
cat__diag_3_721,9.960708681291322e-05
cat__diag_2_592,9.94942239592122e-05
cat__diag_1_V54,9.92245242373412e-05
cat__diag_2_290,9.914826358833405e-05
cat__diag_3_348,9.89591632550347e-05
cat__diag_3_252,9.7973675376405e-05
cat__diag_1_281,9.778598230535458e-05
cat__diag_2_564,9.765857528102867e-05
cat__diag_1_445,9.735041161100416e-05
cat__diag_3_592,9.707050123004185e-05
cat__diag_3_429,9.645135598941954e-05
cat__diag_3_202,9.625642084199433e-05
cat__diag_2_288,9.578109010956076e-05
cat__diag_2_298,9.574928703853521e-05
cat__diag_2_250.83,9.503031813130844e-05
cat__diag_1_303,9.49610996760232e-05
cat__diag_3_310,9.476057248727117e-05
cat__diag_2_94,9.46449809667754e-05
cat__diag_2_553,9.356968665634123e-05
cat__diag_3_319,9.34042973929355e-05
cat__diag_3_423,9.328721638053684e-05
